label,message
spam,"Win a free iPhone now! Click here to claim your prize."
ham,"Hey, are we still meeting tomorrow?"
spam,"Congratulations! You have been selected for a $1000 gift card."
ham,"Let's catch up this weekend!"
spam,"URGENT: Your bank account is at risk. Verify now: fake-link.com"
ham,"Can you send me the project report?"
spam,"Exclusive offer! Buy 1 get 1 free on all products. Limited time only!"
ham,"Please call me when you're free."
spam,"You won a free trip to Dubai! Claim your ticket now."
ham,"Meeting is scheduled for 10 AM tomorrow."
spam,"Your PayPal account is on hold. Resolve now: phishing-link.com"
ham,"Did you complete your homework?"
spam,"Earn $500 daily from home! No experience required."
ham,"How was your weekend?"
spam,"Get 90% off on all purchases! Hurry, limited stock available."
ham,"Let's grab lunch today."
spam,"Click here to unlock unlimited Netflix for free!"
ham,"I will be late for the meeting."
spam,"Special offer! Get free mobile recharge now!"
ham,"Can you help me with this assignment?"
spam,"Lottery Winner: You have won $50,000! Claim now."
ham,"See you at the party tonight."
